"schoolid","schoolname","calendaryear","academicyear","factotal","facmen","facwomen","facother","facminority","ftfactotal","ftfacmen","ftfacwomen","ftfacother","ftfacminority","nonftfactotal","nonftfacmen","nonftfacwomen","nonftfacother","nonftfacminority","totallibrarian","ftlibrarian","ptlibrarian","totaladmin","ftadmin","ptadmin"
"00394700","University of California-Hastings","2019","2018","219","122","97","0","41","73","38","35","0","17","146","84","62","0","24","9","9","0","52","49","3"
"00396900","University of Minnesota","2019","2018","214","137","77","0","15","67","42","25","0","6","147","95","52","0","9","12","11","1","14","10","4"
"00497700","South Texas College of Law","2019","2018","103","66","37","0","19","64","39","25","0","15","39","27","12","0","4","5","5","0","10","10","0"
"00891600","New England Law | Boston","2019","2018","100","59","41","0","6","27","16","11","0","4","73","43","30","0","2","5","4","1","12","12","0"
"00927500","Northern Kentucky University","2019","2018","58","41","17","0","10","26","17","9","0","6","32","24","8","0","4","4","3","1","10","5","5"
"00963500","Florida International University","2019","2018","101","63","38","0","48","35","20","15","0","16","66","43","23","0","32","5","3","2","18","18","0"
"01014205","Touro College","2019","2018","83","49","34","0","9","31","16","15","0","3","52","33","19","0","6","4","4","0","16","16","0"
"01014913","Pepperdine University","2019","2018","185","126","59","0","38","44","28","16","0","9","141","98","43","0","29","3","3","0","13","13","0"
"01039501","University of San Diego","2019","2018","164","108","56","0","14","51","33","18","0","4","113","75","38","0","10","11","9","2","5","5","0"
"01085400","Thomas Jefferson School of Law","2019","2018","69","38","31","0","11","27","12","15","0","5","42","26","16","0","6","2","2","0","1","1","0"
"01164901","Loyola Marymount University-Los Angeles","2019","2018","185","100","80","5","43","63","32","30","1","11","122","68","50","4","32","11","11","0","38","38","0"
"01193400","Vermont Law School","2019","2018","109","50","59","0","4","37","13","24","0","3","72","37","35","0","1","5","5","0","18","17","1"
"01262700","Western Michigan University","2019","2018","226","140","86","0","35","56","27","29","0","9","170","113","57","0","26","23","13","10","43","43","0"
"01310300","California Western School of Law","2019","2018","114","59","55","0","22","31","18","13","0","8","83","41","42","0","14","7","7","0","27","26","1"
