"schoolid","schoolname","calendaryear","academicyear","jd1sectionsz","ftjd1sectionsz","ptjd1sectionsz","postjd1courses","courseseclt25","courseseclt50","courseseclt75","courseseclt100","coursesectgte100","totalsimpos","simposfilled","ftsimposfilled","ptsimposfilled","seminars","semposfilled","ftsemposfilled","ptsemposfilled","totalclinics","totalclinpos","clinposfilled","ftclinposfilled","ptclinposfilled","fieldposfilled","ftfieldposfilled","ptfieldposfilled","indstudy","ftindstudy","ptindstudy","lawjour","ftlawjour","ptlawjour","interskillscomp","ftinterskillscomp","ptinterskillscomp","cocurricularoffers","gradreqcredithrs","fyreqcourscredithrs","ulreqcourscredithrs"
"00130503","Stanford University","2019","2018","30","","","238","180","42","11","6","0","522","","","","96","","","","","292","","","","60","","","","","","","","","","","","2","111","",""
"00131273","University of California-Berkeley","2019","2018","104","","","268","182","63","24","8","12","1370","","","","61","","","","","259","","","","171","","","","","","","","","","","","40","85","",""
"00131373","University of California-Davis","2019","2018","60","","","131","89","23","11","3","3","787","","","","43","","","","","92","","","","104","","","","","","","","","","","","53","88","",""
"00131400","University of California-Irvine","2019","2018","56","","","134","85","13","9","0","1","164","","","","45","","","","","338","","","","135","","","","","","","","","","","","5","86","",""
"00131500","University of California-Los Angeles","2019","2018","76","","","214","143","41","13","14","5","968","","","","66","","","","","219","","","","166","","","","","","","","","","","","0","87","",""
"00132500","University of San Francisco","2019","2018","65","","","88","75","23","7","0","0","602","","","","6","","","","","100","","","","136","","","","","","","","","","","","25","87","",""
"00132600","Santa Clara University","2019","2018","69","","","157","152","34","16","3","0","699","","","","92","","","","","234","","","","212","","","","","","","","","","","","13","86","",""
"00132800","University of Southern California","2019","2018","67","","","158","118","26","10","3","7","855","","","","24","","","","","106","","","","137","","","","","","","","","","","","6","88","",""
"00132901","McGeorge School of Law","2019","2018","87","","","113","131","28","10","0","0","842","","","","13","","","","","96","","","","127","","","","","","","","","","","","13","88","",""
"00137000","University of Colorado","2019","2018","57","","","138","107","33","8","3","0","999","","","","16","","","","","173","","","","155","","","","","","","","","","","","23","89","",""
"00137100","University of Denver","2019","2018","72","","","190","161","38","5","1","0","667","","","","46","","","","","232","","","","576","","","","","","","","","","","","16","90","",""
"00140201","Quinnipiac University","2019","2018","46","","","136","182","14","5","0","0","338","","","","7","","","","","98","","","","98","","","","","","","","","","","","15","86","",""
"00141706","University of Connecticut","2019","2018","37","","","151","127","18","5","0","0","449","","","","47","","","","","199","","","","132","","","","","","","","","","","","6","86","",""
"00142600","Yale University","2019","2018","63","","","185","146","27","9","4","3","147","","","","82","","","","","878","","","","25","","","","","","","","","","","","0","83","",""
"00143401","American University","2019","2018","100","","","240","300","51","21","10","0","738","","","","50","","","","","286","","","","305","","","","","","","","","","","","115","86","",""
"00143711","Catholic University of America","2019","2018","55","","","97","97","16","5","0","0","271","","","","15","","","","","76","","","","61","","","","","","","","","","","","5","87","",""
"00144102","District of Columbia","2019","2018","40","","","49","70","11","2","0","0","86","","","","11","","","","","231","","","","22","","","","","","","","","","","","2","90","",""
"00144402","George Washington University","2019","2018","107","","","245","260","89","22","4","10","2190","","","","41","","","","","160","","","","314","","","","","","","","","","","","45","84","",""
"00144503","Georgetown University","2019","2018","106","","","543","519","108","39","11","14","2124","","","","416","","","","","644","","","","549","","","","","","","","","","","","0","85","",""
"00144802","Howard University","2019","2018","53","","","116","42","12","8","1","1","280","","","","31","","","","","223","","","","127","","","","","","","","","","","","10","88","",""
"00146601","Barry University","2019","2018","47","","","110","116","33","12","2","1","795","","","","18","","","","","145","","","","44","","","","","","","","","","","","16","90","",""
