Order,School ID,school,USNRank,Overall,USNScore,Peer Rep,Lawyer Judge Rep,LSAT,UPGA,Student Selectivity,Employed at Graduation,Employed at 9 mos,Bar Passage,Financial Aid,Direct Expenses,Student-Faculty Ratio,Library,Peer,Lawyer/Judge,Student/Faculty,LSAT_percentile,UGPA,Acceptance,Grad Impute,employed9mo,Bar Passage,FinAid,DirExp,Library
81,3141,University of Pittsburgh,78,44,0.118581248,0.280805409,0.459287919,0.4285326,0.304054615,0.48856436,-0.50599838,0.07556317,-0.533216455,-0.337928948,-0.950925103,-0.028239737,0.300974204,2.6,3.2,11.9,0.7418,3.46,44,29.8,68.2,0.991358025,15383.5,22096,926703
82,3112,St. John•À_•À_•À_s University,82,43,-0.001512516,-0.182112295,-0.062209026,0.4285326,0.329646907,0.369446565,-0.174186028,0.014276116,0.757536333,0.049807903,-0.286221285,-0.788377013,-0.238892348,2.2,2.8,13.9,0.7418,3.48,46,36.6,67.3,1.152631579,21137.5,32276,658274
83,3128,University of Cincinnati,82,43,0.030125541,-0.066382869,0.06816521,0.096427537,0.291258469,-0.464378006,-0.193704402,0.136850224,-0.184858573,-0.516366067,-0.301402389,1.302000497,-0.361978277,2.3,2.9,8.4,0.6714,3.45,60,36.2,69.1,1.034883721,12735.5,32043.5,597074
84,3043,University of Hawaii - Manoa,82,43,0.076950564,0.049346557,-0.322957499,0.266253989,0.240073886,0.845917748,-0.213222775,0.30709204,-0.405488221,-0.458582898,-0.235323778,1.492034816,-0.889596572,2.4,2.6,7.9,0.7074,3.41,38,35.8,71.6,1.007317073,13593,33055.5,334735
85,3135,University of Oregon,82,43,0.104059261,0.280805409,0.459287919,0.4285326,0.137704718,-0.107024619,-0.603590248,-0.285349481,-0.704155392,-0.53846855,-0.169245166,0.23780831,-0.543584326,2.6,3.2,11.2,0.7418,3.33,54,27.8,62.9,0.97,12407.5,34067.5,506777
86,3133,University of Tulsa,82,43,0.038852076,-0.529300572,-0.192583263,-0.08707938,0.291258469,1.143712237,0.177144697,0.783769127,-0.529195173,-0.39288192,0.326964722,0.769904404,-0.277539721,1.9,2.7,9.8,0.6325,3.45,33,43.8,78.6,0.991860465,14568,41667,639058
87,3076,Northeastern University,87,42,0.002629118,-0.066382869,-0.062209026,0.973864209,0.393627637,0.845917748,-0.974439346,-0.789265259,-0.250003335,0.238858256,0.128630945,-0.332294647,-0.71577591,2.3,2.8,12.7,0.8574,3.53,38,20.2,55.5,1.026744186,23943,38629.5,421161
88,3098,Rutgers University - Newark,87,42,0.105616184,0.049346557,0.06816521,0.266253989,0.16329701,0.48856436,0.084432422,-0.155965701,-1.33531743,-1.159898726,-0.537019651,4.494577059,0.175205323,2.4,2.9,,0.7074,3.35,44,41.9,64.8,0.891139241,3185.5,28435,864169
89,3089,St. Louis University,87,42,-0.011809765,-0.182112295,0.198539446,0.096427537,0.316850761,-0.583495802,0.391846806,0.021085788,-0.348444309,-0.199990586,-0.747400368,0.997945587,1.208306558,2.2,3,9.2,0.6714,3.47,62,48.2,67.4,1.014444444,17430.5,25213,1377841
90,3113,SUNY Buffalo Law School,87,42,-0.016606413,-0.182112295,-0.192583263,-0.08707938,0.265666177,-0.226142414,0.006358928,0.27985335,0.273114004,-0.297531269,-0.138785016,0.693890676,0.00835953,2.2,2.7,10,0.6325,3.43,56,40.3,71.2,1.092105263,15983,34534,781211
